Num_Acc;mois;jour;hrmn;lum;agg;int;atm;col;com;adr;gps;lat;long;dep;
1024;4;12;2315;3;1;1;1;6;307;7 rue Saint Gilles;M;4843852;-282070;220;
1025;4;16;1645;1;1;1;1;5;277;;M;4841358;-284979;220;
1026;6;1;1015;1;1;1;1;3;45;le paimpeu;M;4843715;-293897;220;
1027;6;21;715;1;1;1;1;7;176;le moulin de quervilly;M;4846209;-275573;220;
1028;7;1;1845;1;2;3;1;6;171;rue de sébastopol;M;4840790;-281732;220;
1029;7;16;1830;1;2;1;1;6;59;rue du stade;M;4839086;-286813;220;
1030;1;19;1645;1;1;2;7;1;77;LESB PHILIPORTES;M;4852834;-242249;220;
1031;5;9;145;3;2;1;1;1;179;place de Bretagne;M;4864048;-239414;220;
1032;7;3;1530;1;2;1;1;3;179;rue des petites fontaine;M;4862800;-236946;220;
1033;7;30;1645;1;1;1;1;2;323;;M;4852836;-232543;220;
1034;8;27;1745;1;1;1;1;7;143;le Houet;M;4860607;-228005;220;
1035;9;7;1700;1;1;1;1;5;179;saint aide;M;4861960;-234744;220;
1036;9;26;1315;1;2;1;1;6;179;rue des petites fontaine;M;4862860;-236703;220;
1037;10;5;1145;1;2;1;1;3;282;;M;4862812;-225686;220;
1038;2;14;1600;1;2;1;2;7;190;rue François Mitterrand;M;4853300;-205724;220;
1039;2;22;100;3;1;1;2;6;237;Le Bois Bouan;M;4855091;-225530;220;
1040;1;5;1700;1;1;1;8;4;225;le pont caffin;M;4853494;-316147;220;
1041;2;4;1130;1;2;1;7;6;70;route de corlay;M;4855365;-314963;220;
1042;4;21;1945;3;1;1;1;3;272;Kernoble;M;4856775;-310167;220;
1043;8;5;1615;1;2;1;1;6;70;rue st michel;M;4856097;-315801;220;
1044;10;17;745;2;1;1;2;7;272;;M;4856970;-309287;220;
1045;10;14;745;2;2;2;9;3;70;Rue du Général de GAULLE;M;4856317;-314991;220;
1046;10;17;1030;1;2;1;2;6;70;Rue Ernest RENAN;M;4856326;-315570;220;
1047;11;4;1745;3;2;3;8;3;223;pont ezer;M;4857189;-316233;220;
1048;1;2;1830;3;2;1;1;7;248;rue Pierre COTTIN;M;4862100;-308926;220;
1049;1;18;1530;1;2;3;8;3;194;rue de la fontaine;M;4865708;-362612;220;
1050;2;5;1145;1;2;1;2;3;211;rue joseph lasbleiz;M;4871659;-345479;220;
1051;2;2;1545;1;2;1;1;2;353;trebeurdenPAS DOSGEO;M;4882171;-351801;220;
1052;2;7;1300;1;1;6;1;3;198;;M;4878627;-349227;220;
1053;3;9;2245;5;2;1;1;3;168;BLD JOSEPH LE BIHAN;M;4881590;-345833;220;
1054;4;18;2030;1;1;1;1;6;198;;M;4875327;-351582;220;
1055;5;7;2315;4;2;1;1;7;353;rue de poul palud;M;4882479;-350711;220;
1056;7;11;2245;2;2;1;1;6;379;rue de trestel;M;4881996;-335351;220;
1057;8;11;2345;5;2;1;1;6;168;9 rue de la Jetée;M;4880597;-343748;220;
1058;8;13;430;5;2;1;1;6;168;rue de Traouros;M;4882397;-348582;220;
1059;1;8;2000;5;2;1;2;6;3;;M;4802344;-453869;290;
1060;1;29;1845;3;2;1;3;6;197;rue de Locqueran;M;4802160;-453189;290;
1061;2;12;1530;1;1;1;1;6;3;;M;4802194;-453854;290;
1062;6;21;1030;1;1;1;1;4;173;;M;4800787;-419574;290;
1063;7;13;715;2;2;1;5;6;215;route de QUIMPER;M;4798700;-442395;290;
1064;10;9;1900;2;1;1;2;2;225;;M;4796600;-433100;290;
1065;11;10;430;3;1;1;8;6;218;;M;4804800;-446700;290;
1066;12;6;630;3;1;6;1;6;173;;M;4800700;-419200;290;
1067;12;11;1845;3;1;1;1;1;225;bourg;M;4801568;-436159;290;
1068;12;23;1845;3;1;1;8;1;216;;M;4798099;-417921;290;
1069;2;26;1745;1;1;1;1;3;224;;M;4804307;-432725;290;
1070;4;11;900;1;1;1;1;1;46;;M;4809322;-432861;290;
1071;4;20;800;1;1;1;1;6;226;;M;4808027;-441415;290;
1072;7;18;1700;1;2;1;1;2;46;RUE AR VERET;M;4808860;-434028;290;
1073;11;6;845;1;1;1;1;5;169;;M;4807814;-419158;290;
1074;11;6;1645;1;2;1;2;1;46;D7 boulevard Jean Moulin;M;4808648;-433897;290;
1075;11;17;800;2;2;9;8;6;46;rue la?nnec;M;4808604;-432163;290;
1076;1;1;645;3;1;1;3;1;57;;M;4792510;-397435;290;
1077;1;17;1900;5;2;1;8;6;58;37, rue d'Armor;M;4793363;-402123;290;
1078;4;17;1445;1;1;2;1;3;247;;M;4793688;-402147;290;
1079;5;25;430;3;1;1;1;7;247;;M;4793688;-402147;290;
1080;8;17;1545;1;2;1;1;1;58;lieu dit roezmbar;M;4789374;-401152;290;
1081;8;22;600;5;2;1;1;3;58;rue Jean GUEGUEN;M;4789374;-401152;290;
1082;8;22;1130;1;2;9;1;6;6;chemin de Creisanguer;M;4786641;-409047;290;
1083;10;17;1015;1;1;1;8;1;57;;M;4790788;-397956;290;
1084;12;9;1000;1;1;1;1;6;60;bourg;M;4790788;-404324;290;
1085;1;11;1630;1;2;2;1;3;220;rue du penquer;M;4786510;-421678;290;
1086;12;13;1000;1;1;1;1;3;158;bourg;M;4779729;-435814;290;
1087;2;19;1545;1;2;1;2;7;235;bd L?opold Maissin;M;4839524;-441231;290;
1088;3;8;1800;1;2;1;7;6;75;RUE DE TOURBIAN;M;4841068;-446046;290;
1089;4;30;1815;1;2;6;3;6;75;;M;4843545;-439989;290;
1090;5;14;500;3;2;1;1;7;75;AVENUE DE BARSBUTTEL;M;4843313;-441481;290;
1091;5;19;1230;1;2;1;1;1;268;rue pen ar quinquis;M;4847204;-433727;290;
1092;7;4;1800;1;1;1;2;3;75;;M;4845244;-437704;290;
1093;1;11;1300;1;2;1;7;1;103;rue de ST ERNEL;M;4844354;-426396;290;
1094;6;24;1145;1;1;3;1;3;128;RD30 X RD69;M;4849254;-407733;290;
1095;9;3;1815;1;2;1;1;1;103;1 r?sidence duguesclin;M;4787192;-391776;290;
1096;9;13;800;1;1;1;1;1;180;;M;4845323;-414314;290;
1097;12;27;1645;2;2;1;3;6;103;32 rue de la lib?ration;M;4844928;-424645;290;
1098;3;5;1800;1;1;1;1;6;55;;M;4855065;-434804;290;
1099;3;19;1230;1;1;1;1;1;179;;M;4852800;-430800;290;
1100;4;27;1830;1;1;1;1;6;124;;M;4850110;-429610;290;
1101;9;9;900;1;1;1;1;1;64;;M;0;0;290;
1102;12;12;845;2;2;1;2;6;55;rue de la gare;M;4856067;-434159;290;
1103;6;15;30;3;2;1;1;6;35;rue de la forge;M;4849717;-450878;290;
1104;6;23;1015;1;1;1;1;1;117;;M;4856937;-452151;290;
1105;8;28;1115;1;1;1;2;6;15;;M;4849950;-450657;290;
1106;8;29;1700;1;2;1;1;6;195;Kroaz Kenan;M;4860790;-450557;290;
1107;9;17;2145;3;2;1;1;6;160;kermenguy;M;4849064;-443475;290;
1108;9;19;2245;5;2;1;1;6;117;;M;4856937;-452151;290;
1109;11;25;1130;1;1;1;1;1;77;;M;4863402;-440954;290;
1110;10;2;2015;5;2;1;1;1;98;RUE DE PORSPAUL;M;4844724;-477134;290;
1111;3;21;930;1;1;1;1;6;149;;M;4847284;-452508;290;
1112;4;17;1500;1;1;1;1;1;257;;M;4856346;-459718;290;
1113;6;13;2345;4;2;1;1;3;178;rye yves Talarmin;M;4854070;-465586;290;
1114;7;2;1800;1;1;1;1;5;119;;M;4847384;-463899;290;
1115;7;26;1000;1;2;1;1;1;221;10 rue du port;M;4848776;-477037;290;
1116;7;27;1400;1;2;1;1;2;177;Route du Phare;M;4842501;-477871;290;
1117;8;13;800;1;2;1;1;6;260;rue Lucien Thuilliez;M;4843234;-462873;290;
1118;9;1;2245;3;2;1;1;6;196;rue Suzanne de Parceveau;M;4852497;-459866;290;
1119;10;11;2100;3;1;2;1;3;208;;M;4850909;-468598;290;
1120;11;9;1530;1;2;1;1;1;178;CHEMIN DES DUNES;M;4856662;-468428;290;
1121;12;4;1400;1;1;1;2;7;196;;M;4853800;-459700;290;
1122;12;24;130;3;1;1;2;6;196;;M;4852497;-459866;290;
1123;5;17;645;2;1;1;1;6;302;MIGOURON;M;4827696;-410257;290;
1124;6;13;1700;1;2;1;7;1;26;Notre dame 29150;M;4819536;-409750;290;
1125;8;22;1500;1;1;1;1;1;240;;M;4826353;-419451;290;
1126;1;16;1115;1;2;1;2;7;81;;M;4837092;-374736;290;
1127;2;5;1900;3;2;1;2;6;24;CD 54;M;4827558;-357418;290;
1128;2;10;715;3;1;1;2;6;227;;M;4834012;-364282;290;
1129;4;19;1700;1;1;2;1;3;211;;M;4831552;-373744;290;
1130;5;4;1300;1;1;1;1;3;152;;M;4820169;-355540;290;
1131;6;3;1530;1;1;2;8;3;227;;M;4834012;-364282;290;
1132;6;7;1445;1;1;1;1;7;250;;M;4821814;-363458;290;
1133;6;15;730;1;1;1;1;7;24;Lieu dit Trévourec;M;4823913;-359864;290;
1134;6;17;1730;1;1;1;1;1;81;proche le Cloitre;M;4836009;-379789;290;
1135;7;4;1800;1;2;1;2;1;24;;M;4828106;-357423;290;
1136;7;16;1630;1;2;1;7;5;24;BOulevard Jean MOULIN;M;4827241;-356852;290;
1137;2;21;1545;1;1;1;8;2;107;;M;4806303;-397809;290;
1138;5;29;1700;3;1;1;1;6;125;;M;4809956;-378567;290;
1139;7;13;100;3;1;1;2;6;48;;M;4811906;-388301;290;
1140;9;9;1530;1;1;1;1;6;41;;M;4805100;-390300;290;
1141;10;6;1145;1;1;1;1;1;41;;M;4805900;-382600;290;
1142;10;14;1700;1;2;1;1;1;20;amiral de la grandi?re;M;4809711;-399740;290;
1143;10;24;1815;1;1;1;8;6;16;;M;4832700;-396000;290;
1144;11;1;1815;3;1;1;1;6;41;lieu-dit Cavarno;M;4809284;-385286;290;
1145;12;13;1030;1;1;1;1;3;175;bourg;M;4835347;-385055;290;
1146;2;19;1045;1;2;1;2;6;22;rue du STADE;M;4827562;-460483;290;
1147;9;16;930;1;2;1;9;6;280;Rue de l'Aber;M;4823174;-436985;290;
1148;10;3;1630;1;2;1;1;3;42;Tal ar groas;M;4824908;-441812;290;
1149;12;4;745;4;2;1;1;3;120;boulevard de la marine;M;4828471;-445582;290;
1150;12;20;1730;2;1;2;1;3;238;;M;4831535;-454802;290;
1151;3;5;1745;1;1;1;1;2;207;;M;4856444;-384267;290;
1152;5;2;2115;1;2;1;1;6;113;route de locquirec;M;4864700;-371540;290;
1153;7;1;1245;1;1;1;1;1;207;;M;4853481;-379048;290;
1154;8;9;1715;1;2;1;1;6;191;Rue de Lann?anou;M;4851861;-371009;290;
1155;8;29;2000;1;1;1;1;1;67;;M;4851726;-358881;290;
1156;10;20;2300;3;1;1;1;6;191;;M;4852067;-371301;290;
1157;11;1;1615;1;1;1;7;2;191;;M;4851709;-370926;290;
1158;11;16;2000;3;1;1;5;1;191;;M;4852067;-371301;290;
1159;12;20;1500;1;1;1;1;3;207;vieux bourg;M;4853174;-383080;290;
1160;12;26;1930;3;1;1;2;1;59;;M;4860127;-375734;290;
1161;3;14;2030;5;2;1;1;6;105;Rue du G?n?ral DE GAULLE;M;4851013;-407326;290;
1162;3;20;1030;1;1;1;1;1;204;;M;4854000;-421500;290;
1163;5;23;1200;1;1;1;2;6;105;;M;4851013;-407326;290;
1164;7;5;730;2;1;1;2;7;10;;M;4849200;-413699;290;
1165;8;24;1745;1;1;1;8;7;262;;M;4589407;-415793;290;
1166;8;24;1400;1;1;1;1;7;193;;M;4855406;-408399;290;
1167;9;21;1700;1;2;1;1;6;38;Ty douar;M;4841201;-396918;290;
1168;10;7;800;2;2;1;2;6;105;rue Cl?menceau;M;4851700;-406900;290;
1169;11;15;1915;3;1;1;1;3;202;;M;4847000;-387500;290;
1170;1;5;2245;3;1;1;6;6;279;;M;4858167;-390153;290;
1171;1;8;1845;5;2;1;2;6;259;;M;4868127;-398737;290;
1172;1;17;2100;3;1;1;8;6;23;;M;4864881;-392304;290;
1173;1;24;1215;1;2;1;2;6;30;rue du Vern Mespaul;M;4866268;-411066;290;
1174;2;22;1630;1;2;1;1;3;259;Rue Joseph Kersebet;M;4867987;-399852;290;
1175;3;5;1715;1;1;2;7;1;68;;M;4853774;-396788;290;
1176;3;10;1030;1;1;1;1;3;259;;M;4866126;-402249;290;
1177;5;31;1830;1;1;1;1;1;30;;M;4866265;-410303;290;
1178;6;17;1700;1;2;1;1;3;184;lieu-dit le milinou;M;4862711;-396124;290;
1179;8;25;1000;1;1;1;3;6;184;;M;4862842;-399242;290;
1180;9;12;1330;1;1;1;1;1;239;;M;4872620;-398532;290;
1181;9;16;2015;1;1;2;1;3;30;;M;4866265;-410303;290;
1182;9;23;1645;1;1;1;1;3;192;;M;0;0;290;
1183;9;27;2030;3;1;1;1;6;111;;M;4857974;-421114;290;
1184;11;25;1345;1;1;1;1;7;213;;M;4859620;-411367;290;
1185;7;8;1015;1;1;1;1;4;94;;M;0;0;560;
1186;1;24;300;3;1;1;2;6;22;;M;0;0;560;
1187;1;27;2045;3;1;1;1;7;120;;M;0;0;560;
1188;1;30;615;3;1;1;2;1;158;;M;0;0;560;
1189;2;1;1730;1;1;1;1;7;164;;M;0;0;560;
1190;3;4;930;1;1;1;1;1;67;;M;0;0;560;
1191;5;15;2030;1;1;1;1;1;67;;M;0;0;560;
1192;5;28;1315;1;2;1;1;6;8;RUE DU 06 AOUT 1944;M;4761961;-292204;560;
1193;7;1;730;1;1;1;8;3;157;;M;0;0;560;
1194;7;2;1430;1;2;1;1;3;8;RUE DES FRERES GUENEDAL;M;4762081;-291450;560;
1195;7;6;2045;1;1;1;1;1;106;;M;0;0;560;
1196;10;17;700;3;1;1;8;1;22;;M;0;0;560;
1197;11;20;945;1;1;1;1;3;260;;M;0;0;560;
1198;12;27;630;3;1;6;1;6;115;;M;0;0;560;
1199;1;23;1715;1;2;1;8;6;61;rue de la liberte;M;0;0;560;
1200;1;25;1600;1;1;6;7;6;194;;M;0;0;560;
1201;3;6;45;3;1;1;1;6;223;;M;4764236;-209745;560;
1202;4;10;1800;1;1;1;1;2;154;;M;0;0;560;
1203;4;19;1615;1;2;1;1;6;33;rue fontaine st louis;M;0;0;560;
1204;5;23;1230;1;1;2;1;6;194;;M;4761111;-211271;560;
1205;6;1;130;3;1;1;1;6;60;;M;0;0;560;
1206;6;21;515;2;1;1;1;6;154;;M;0;0;560;
1207;7;4;1445;1;1;6;6;3;194;;M;0;0;560;
1208;12;29;1630;1;1;1;1;7;33;;M;0;0;560;
1209;1;9;1015;1;1;1;1;1;77;;M;0;0;560;
1210;1;14;530;3;1;1;1;7;143;;M;0;0;560;
1211;2;24;1245;1;1;2;1;3;149;;M;4756706;-243073;560;
1212;2;28;1145;1;1;1;1;1;2;;M;0;0;560;
1213;7;27;1630;1;2;1;1;6;195;2 rue Crespel;M;4752173;-230409;560;
1214;1;1;1230;1;1;1;6;6;184;;M;0;0;560;
1215;1;6;1600;1;1;1;8;5;184;;M;0;0;560;
1216;2;18;1030;1;1;1;1;3;261;;M;4769702;-251621;560;
1217;4;25;800;1;1;3;1;1;184;;M;0;0;560;
1218;6;27;1945;1;1;1;1;4;109;;M;0;0;560;
1219;6;28;200;3;1;1;1;7;231;;M;0;0;560;
1220;7;17;2030;1;2;1;8;7;123;rue de la belle etoile;M;0;0;560;
1221;9;22;1645;1;1;1;1;1;224;;M;0;0;560;
1222;10;11;915;1;1;1;1;3;231;;M;0;0;560;
1223;11;21;800;2;2;9;5;3;184;Place du Marchix;M;4766149;-245625;560;
1224;1;20;745;5;2;1;1;1;23;Rue Nationale;M;0;0;560;
1225;1;25;1045;1;2;1;1;6;7;;M;4766747;-298531;560;
1226;2;23;2000;1;2;1;1;7;23;KERIZAN;M;4768240;-302202;560;
1227;3;21;1945;5;2;1;1;6;7;rue du Cdt Charcot;M;4767271;-299325;560;
1228;3;28;1600;1;2;1;1;3;7;;M;4767255;-299231;560;
1229;7;9;1830;1;1;1;1;4;46;;M;4765450;-298263;560;
1230;8;31;445;3;1;1;1;7;167;;M;0;0;560;
1231;9;19;715;1;2;1;1;3;176;RUE AMPERE;M;4766916;-296065;560;
1232;10;20;100;3;1;9;1;7;176;;M;0;0;560;
1233;11;8;2115;5;2;1;1;6;7;1 RUE FRANCIS HELLEC;M;4767941;-300576;560;
1234;11;13;2000;3;1;1;8;1;46;;M;0;0;560;
1235;11;22;1630;1;1;3;1;5;263;;M;0;0;560;
1236;1;9;1545;2;1;1;8;1;152;;M;4733411;-315963;560;
1237;3;6;1700;5;2;1;1;3;168;;M;4759723;-311235;560;
1238;7;26;1100;1;2;1;1;3;186;rue des korrigans;M;4748272;-311072;560;
1239;8;16;1115;1;2;1;1;6;34;2 RUE DU TUMULUS;M;4758353;-307834;560;
1240;1;10;1945;4;2;1;3;6;69;Route de Port Melite;M;4763993;-344996;560;
1241;8;14;1145;1;1;6;1;3;130;;M;0;0;560;
1242;9;9;2300;5;2;1;1;7;193;route de la Croizetiere;M;4771518;-333323;560;
1243;11;12;1500;1;1;1;3;1;169;;M;4769337;-320123;560;
1244;11;17;945;1;2;1;1;3;161;LOCMARIA;M;0;0;560;
1245;1;20;815;2;2;1;5;6;165;Rue de la Porte Bergault;M;4792861;-239284;560;
1246;2;11;2000;3;1;1;8;1;134;;M;0;0;560;
1247;3;4;845;2;1;1;7;7;43;;M;0;0;560;
1248;3;2;1215;1;2;6;2;2;165;giratoire GUILLOU;M;4793909;-240368;560;
1249;8;17;1900;1;1;1;1;1;165;;M;0;0;560;
1250;9;3;1715;1;1;1;1;2;165;;M;0;0;560;
1251;9;26;2030;4;2;1;1;7;127;avenue Jean Allain;M;0;0;560;
1252;10;13;1800;1;1;6;1;3;122;;M;4797591;-237934;560;
1253;10;9;1300;1;1;1;1;7;197;;M;0;0;560;
1254;10;19;1815;1;1;1;1;1;138;;M;4789183;-236360;560;
1255;12;31;1845;3;1;1;1;6;6;;M;0;0;560;
1256;2;9;2120;3;1;1;2;7;230;;M;0;0;560;
1257;2;14;1;3;1;1;2;6;219;;M;4779577;-250631;560;
1258;5;14;1845;1;2;3;1;3;124;Boulevard du pont neuf;M;0;0;560;
1259;8;1;1730;1;1;3;1;3;20;;M;0;0;560;
1260;9;12;1645;1;2;1;1;6;244;51 rue merlin;M;4782371;-251253;560;
1261;10;4;1715;1;1;2;8;3;75;;M;0;0;560;
1262;10;16;845;1;1;1;8;1;200;;M;0;0;560;
1263;1;10;1315;1;1;1;1;6;172;;M;0;0;560;
1264;1;12;1130;1;1;1;1;6;222;;M;4786610;-274267;560;
1265;3;16;1830;1;1;1;1;1;160;;M;4798495;-268607;560;
1266;3;16;1845;1;1;1;7;2;140;;M;0;0;560;
1267;4;7;645;2;1;1;2;6;172;;M;0;0;560;
1268;5;9;1900;1;1;1;1;6;79;;M;0;0;560;
1269;5;20;1515;2;1;1;1;1;17;;M;0;0;560;
1270;6;9;200;3;1;1;1;6;24;;M;0;0;560;
1271;6;16;1130;1;1;1;7;6;70;;M;0;0;560;
1272;7;6;1600;1;1;1;2;1;17;;M;4786817;-274360;560;
1273;7;6;2130;1;2;1;1;6;189;29 RUE CHARLES DE FOUCAU;M;4796036;-271289;560;
1274;7;24;1400;1;1;1;1;1;59;;M;0;0;560;
1275;9;5;1745;1;1;1;1;7;17;;M;0;0;560;
1276;2;26;1615;1;1;1;1;5;41;;M;0;0;560;
1277;8;6;1600;1;1;1;1;1;213;;M;0;0;560;
1278;10;5;1000;1;1;1;1;6;215;;M;0;0;560;
1279;11;3;1700;2;1;1;2;2;151;;M;0;0;560;
1280;11;28;945;1;1;1;1;1;178;;M;0;0;560;
1281;1;16;745;3;1;1;8;1;141;;M;0;0;560;
1282;2;4;1430;1;2;1;1;6;128;rue d'angleterre;M;0;0;560;
1283;3;14;100;3;1;6;1;6;140;;M;0;0;560;
1284;3;15;1830;1;2;1;1;6;10;RUE DE PONYIVY;M;4787640;-301938;560;
1285;3;16;1415;1;2;1;1;1;117;RUE DUGUESCLIN;M;0;0;560;
1286;4;24;930;1;1;1;1;7;141;;M;0;0;560;
1287;5;26;900;1;1;1;1;7;10;;M;0;0;560;
1288;5;31;1815;1;1;1;1;3;140;;M;0;0;560;
1289;6;18;745;1;1;1;1;1;192;;M;0;0;560;
1290;7;2;2145;1;1;1;1;1;207;;M;0;0;560;
1291;7;25;2000;2;2;1;7;1;140;LE BRONUT;M;0;0;560;
1292;9;2;1615;1;2;1;7;6;117;Boulevard duguesclin;M;0;0;560;
1293;12;19;845;2;1;1;2;1;173;;M;4795892;-302363;560;
1294;3;12;1415;1;1;1;1;2;57;;M;4802578;-350156;560;
1295;4;26;1245;1;1;5;8;1;66;;M;0;0;560;
1296;5;1;1400;1;1;1;8;1;81;;M;0;0;560;
1297;7;21;715;1;1;1;1;3;14;;M;0;0;560;
1298;10;28;1630;1;1;1;1;6;66;;M;0;0;560;
1299;11;18;1800;3;1;1;1;5;57;;M;0;0;560;
1300;10;24;1245;1;1;6;1;3;488;;M;4926460;-26206;140;
1301;12;31;700;3;1;1;8;1;76;;M;0;0;140;
1302;1;10;2230;3;1;1;1;6;14;;M;4926010;-40722;140;
1303;4;24;735;1;1;2;1;3;44;;M;4926830;-43688;140;
1304;8;14;1545;1;2;2;8;3;44;;;;;140;
1305;11;29;1220;1;1;1;1;7;44;;M;4929080;-41212;140;
1306;12;28;230;3;1;1;6;6;44;;M;4928000;-42800;140;
1307;1;9;800;2;1;1;8;6;747;;M;4912320;-44691;140;
1308;1;16;1845;3;1;1;1;1;747;;M;4911190;-45254;140;
1309;2;27;1915;5;1;1;2;3;257;;;;;140;
1310;3;4;745;2;1;2;1;3;42;;M;4912440;-49126;140;
1311;3;18;815;1;1;6;1;3;396;;M;4913440;-41291;140;
1312;5;11;45;4;2;1;1;6;6;RUE DES POMMIERS;M;4908470;-43295;140;
1313;5;25;1730;1;1;3;3;3;738;;M;4915940;-46919;140;
1314;5;28;1800;1;1;1;8;1;42;;M;4912170;-46587;140;
1315;11;10;530;3;1;2;1;3;311;INTERSECTION D139/D83;M;4914400;-54986;140;
1316;1;1;1800;5;2;3;3;6;675;;M;4913780;-29721;140;
1317;1;13;1630;1;2;1;1;3;57;ROUTE DE PARIS 6 RD613;M;4912470;-20698;140;
1318;2;12;715;2;1;1;8;1;145;;M;4904020;-28137;140;
1319;3;13;530;3;1;1;5;6;20;;M;4912480;-18385;140;
1320;4;1;1800;1;1;1;1;1;57;;M;4911910;-22681;140;
1321;4;24;830;1;1;1;1;1;92;;M;4911970;-28763;140;
1322;5;8;445;3;1;1;1;6;74;RUE DU COLOMBIER;M;4907890;-18126;140;
1323;5;14;1645;1;1;1;1;2;20;;M;4912490;-18320;140;
1324;6;13;1415;1;2;1;1;1;57;6 ROUTE DE PARIS;M;4912660;-21123;140;
1325;6;15;1800;1;1;1;1;3;20;D 613;M;4911940;-18262;140;
1326;6;25;2100;1;1;1;1;1;5;;M;4908650;-15366;140;
1327;7;1;2000;1;2;1;1;6;119;RD225;;;;140;
1328;9;14;915;1;1;1;1;3;271;;M;4913170;-37778;140;
1329;9;17;1945;1;2;1;1;1;20;RUE DES ECUYERS;M;4912390;-17212;140;
1330;11;3;750;1;1;1;2;3;456;;M;4912000;-18579;140;
1331;12;1;745;5;2;1;1;1;623;RUE DES BIGANOS;M;0;0;140;
1332;12;7;15;1;1;1;1;6;252;;M;4900700;-27600;140;
1333;12;25;900;4;2;1;1;6;57;;M;4913000;-20800;140;
1334;1;7;1830;5;2;2;1;3;488;RUE DU TOUR DE VILLE;M;4927720;-26161;140;
1335;3;10;1800;1;2;2;1;3;325;RUE DU PR  DE L'ISLE;M;4929900;-30688;140;
1336;3;11;2100;5;2;2;1;6;365;37 PAUL DOUMER;M;4930320;-32016;140;
1337;6;12;1205;1;1;3;1;3;76;D141;M;4923830;-31563;140;
1338;8;17;2055;2;2;3;2;6;60;;M;4924820;-27312;140;
1339;10;8;1345;1;2;1;1;1;488;RUE DE LA CR TE AU COQ;;;;140;
1340;10;12;1200;1;2;2;2;3;166;;;;;140;
1341;11;22;1545;1;2;2;1;3;488;BOULEVARD DE FRANCE;M;4928680;-26046;140;
1342;11;28;1830;5;2;1;1;1;488;;M;4928200;-26549;140;
1343;12;1;1130;1;1;1;8;1;325;;M;0;0;140;
1344;1;11;1145;1;2;1;1;6;246;RUE CLAUDE LEBRETON;M;4921250;-23710;140;
1345;4;5;1525;1;1;1;1;7;344;LA RAM?E;M;4915530;-16591;140;
1346;4;9;755;1;1;3;5;3;46;CARREFOUR RD 513/RD95;M;4924230;-18578;140;
1347;5;2;2230;3;1;2;1;1;530;;M;4923620;-23810;140;
1348;8;23;2330;3;2;1;1;6;530;D 223;M;4922090;-27375;140;
1349;9;4;1230;1;2;1;1;7;724;AVENUE DU PR?SIDENT COTY;M;4928440;-15196;140;
1350;10;14;2245;3;1;1;1;6;328;;M;4920830;-27901;140;
1351;4;18;1445;1;2;1;1;6;47;PARKING DES REMPARTS;M;4927890;-70538;140;
1352;6;10;2200;5;1;1;1;3;47;;;;;140;
1353;7;6;115;3;2;1;2;3;436;905 ROUTE DE TILLY;;;;140;
1354;9;29;800;2;1;1;2;6;732;;;;;140;
1355;10;10;1845;1;1;1;1;1;184;;;;;140;
1356;12;2;1830;3;1;6;3;1;630;;M;0;0;140;
1357;6;17;1055;1;1;1;1;7;468;LES ESSARTS;M;4922090;-76744;140;
1358;11;20;1000;1;1;1;1;1;727;;;;;140;
1359;3;15;150;3;1;6;1;6;258;;M;4888150;-19239;140;
1360;4;25;1400;1;1;1;1;6;206;;M;4887590;-8102;140;
1361;6;27;915;1;2;2;1;3;244;ROUTE DE LIVAROT;M;4890780;-15806;140;
