Num_Acc;catr;voie;v1;v2;circ;nbv;pr;pr1;vosp;prof;plan;lartpc;larrout;surf;infra;situ;env1;
1130;3;769;;;3;0;5;0;0;4;2;23;134;1;5;1;0;
1131;3;154;;;2;0;0;0;0;1;1;0;69;1;0;1;0;
1132;3;769;;;1;2;0;0;0;1;1;0;80;1;0;1;99;
1133;3;769;;;2;2;7;0;0;0;1;0;76;1;0;3;0;
1134;3;764;;;2;2;20;640;0;1;1;0;0;1;0;1;0;
1135;3;54;;;2;2;0;0;0;2;1;60;0;8;0;1;99;
1136;3;264;;;2;0;0;0;0;3;1;0;80;1;5;1;0;
1137;4;9;;;2;2;0;0;0;1;1;0;57;2;0;1;0;
1138;4;0;2;;1;1;0;0;0;2;0;60;0;0;2;0;0;
1139;4;16;;;2;2;0;0;0;1;1;0;0;2;0;3;99;
1140;3;15;;;2;2;15;405;0;1;1;0;60;1;0;3;0;
1141;3;36;;;2;2;10;900;0;1;1;0;70;2;0;3;0;
1142;3;72;;;2;2;0;0;0;2;1;0;0;1;0;1;99;
1143;3;785;;;2;2;28;850;0;2;4;0;72;2;0;3;0;
1144;3;36;;;2;2;16;50;0;1;1;0;70;1;0;1;99;
1145;3;48;;;2;2;0;0;0;0;2;70;0;1;0;1;0;
1146;4;0;;;2;2;0;0;0;1;3;0;57;2;0;1;0;
1147;9;0;;;2;2;0;0;0;1;1;0;60;1;0;1;0;
1148;3;791;;;2;2;0;0;0;1;1;80;0;1;0;1;99;
1149;4;0;;;1;2;0;0;0;0;0;0;0;1;0;1;99;
1150;4;14;;;2;0;0;0;0;2;1;0;49;1;0;1;0;
1151;3;712;;;3;0;0;0;0;3;1;0;0;1;5;1;99;
1152;3;64;;;2;2;10;800;0;1;2;0;70;1;0;1;0;
1153;3;109;;;2;0;0;0;0;1;2;0;69;1;0;1;0;
1154;4;0;;;2;1;0;0;0;2;3;0;50;1;0;4;99;
1155;3;42;;;2;2;0;0;0;0;1;0;66;1;0;1;0;
1156;3;9;;;2;0;4;500;0;1;1;0;58;1;0;3;0;
1157;3;9;;;0;0;0;0;0;0;1;0;68;2;0;1;0;
1158;3;109;;;2;2;3;700;0;0;2;0;68;1;0;1;0;
1159;3;769;;;2;2;49;500;0;0;1;0;65;1;0;1;0;
1160;3;786;;;2;0;11;800;0;0;3;0;68;2;0;1;0;
1161;4;0;;;2;2;44;0;0;2;1;0;94;1;0;1;0;
1162;3;229;;;2;2;0;0;0;1;1;50;0;1;0;1;0;
1163;3;69;;D;2;2;0;0;0;2;2;0;80;2;3;3;0;
1164;3;2;;;2;0;0;0;0;1;3;0;60;2;0;0;99;
1165;3;11;;;2;2;10;940;0;1;3;0;0;2;0;1;0;
1166;3;35;;;2;2;0;0;0;2;3;0;0;1;0;1;0;
1167;3;764;;;2;0;37;0;0;1;1;0;60;1;6;1;0;
1168;4;0;;;2;2;0;0;0;1;1;0;82;2;0;1;0;
1169;3;785;;;2;0;0;0;0;1;1;61;0;1;0;1;0;
1170;3;19;;;2;2;0;0;0;0;2;0;0;2;0;1;0;
1171;4;0;;;2;2;0;0;0;1;1;0;0;2;0;1;0;
1172;4;0;;;2;2;0;0;0;2;4;0;0;2;0;1;0;
1173;4;0;;;2;2;0;0;0;1;1;0;0;2;5;1;0;
1174;4;0;2;;2;0;0;0;0;1;0;0;0;1;0;1;0;
1175;3;131;;;2;2;0;0;0;3;4;0;600;1;0;1;0;
1176;3;788;2;;2;0;0;0;0;1;1;0;0;1;0;1;0;
1177;4;0;;;2;0;0;0;0;1;3;0;55;1;0;1;0;
1178;3;769;;;2;2;0;0;0;1;4;0;70;1;0;1;0;
1179;3;769;;;2;0;0;0;0;1;1;0;0;2;2;3;99;
1180;3;58;;;2;0;0;0;0;1;1;0;70;1;0;1;99;
1181;4;0;;;2;0;0;0;0;1;1;0;0;1;0;1;0;
1182;3;10;2;;2;2;2;600;0;3;1;0;71;1;0;1;0;
1183;4;0;;;2;2;0;0;0;1;1;47;0;1;0;1;0;
1184;3;19;;;2;2;21;350;0;0;2;0;60;0;0;3;0;
1185;2;165;;;3;2;87;450;0;1;1;20;95;0;0;1;99;
1186;3;16;;;2;2;36;750;0;2;2;0;66;2;0;3;99;
1187;3;778;;;2;2;38;900;0;1;1;0;0;2;0;1;0;
1188;3;19;;;2;0;2;750;0;0;1;0;60;2;5;1;0;
1189;2;165;;;0;4;49;700;0;0;1;15;140;1;0;1;99;
1190;3;779;;;2;2;15;0;0;0;1;0;68;0;0;1;0;
1191;3;115;;;2;0;13;0;0;0;2;0;60;1;0;3;0;
1192;4;0;;;2;0;0;0;0;2;1;60;0;1;0;1;0;
1193;3;778;;;2;2;36;0;0;1;1;0;70;2;0;1;99;
1194;4;0;;;2;0;0;0;0;0;1;54;0;1;0;1;0;
1195;3;316;;;2;0;7;800;0;2;3;0;54;1;0;1;0;
1196;3;779;;;2;2;19;410;0;2;1;0;60;2;0;1;99;
1197;3;101;;;2;0;2;800;3;1;1;0;60;1;0;1;99;
1198;3;133;;;2;0;3;390;0;1;2;61;0;1;0;1;99;
1199;3;8;;;2;2;47;0;3;1;1;0;7;2;0;1;0;
1200;3;114;;;2;1;14;400;0;1;0;0;10;1;5;1;0;
1201;3;75;;;2;2;0;700;0;1;2;0;6;1;0;1;0;
1202;3;764;;;2;2;8;433;0;1;2;0;0;1;0;1;0;
1203;3;138;;;2;2;21;250;0;2;2;0;5;1;0;3;0;
1204;3;114;;;2;2;13;700;0;1;1;0;6;1;0;1;0;
1205;3;777;;;2;2;4;370;0;1;1;0;0;1;0;1;0;
1206;3;14;;;2;2;8;757;0;2;2;0;0;1;0;3;0;
1207;3;775;;;1;0;2;36;0;1;1;0;0;1;5;1;0;
1208;3;118;;;2;2;20;100;0;1;2;0;7;1;0;1;0;
1209;3;1;;;2;2;5;100;0;1;1;0;73;1;0;1;0;
1210;2;165;;;3;0;22;800;0;2;2;310;92;2;0;3;0;
1211;3;20;;;2;0;22;390;0;0;1;0;0;1;0;1;99;
1212;3;140;;;0;2;6;800;0;1;1;0;58;1;0;1;0;
1213;3;34;;E;2;0;0;0;0;1;1;0;50;1;0;1;0;
1214;3;775;;;2;2;24;796;0;1;1;0;0;2;0;1;99;
1215;3;777;;;2;2;24;500;0;1;3;0;60;2;0;1;0;
1216;3;775;;;2;2;0;0;0;3;1;0;70;1;0;1;0;
1217;3;1;;C;2;1;1;325;0;2;1;0;0;1;5;1;99;
1218;3;140;;;2;2;16;100;0;3;2;80;80;1;0;1;99;
1219;2;166;;;3;2;7;630;3;0;1;162;114;1;0;1;99;
1220;3;21;;;2;0;5;120;0;1;1;80;80;1;0;1;99;
1221;3;146;;A;2;2;0;470;0;1;3;0;49;1;0;1;99;
1222;3;766;;A;2;0;0;830;0;0;1;0;0;1;0;1;99;
1223;9;0;;;2;0;0;0;0;0;1;0;0;0;0;1;99;
1224;3;765;;;2;2;65;310;2;2;1;0;84;1;6;1;99;
1225;9;0;;;1;0;0;0;0;1;0;0;0;1;1;4;0;
1226;9;0;;;0;1;0;0;0;2;3;30;0;1;0;3;0;
1227;4;0;;;2;2;0;0;0;1;0;0;52;1;6;1;99;
1228;4;0;;;2;2;0;0;0;1;1;0;45;1;0;1;99;
1229;3;28;;;2;0;0;0;0;2;1;0;50;1;0;1;99;
1230;2;165;;;3;0;57;100;0;2;3;40;0;1;0;1;0;
1231;9;0;;;2;0;0;0;0;0;0;0;0;0;0;0;0;
1232;2;165;;;1;1;60;230;0;2;3;0;0;1;3;1;0;
1233;9;0;;;2;0;0;0;0;1;1;0;55;1;5;4;0;
1234;3;28;;;2;2;12;950;0;0;3;0;90;2;0;1;0;
1235;3;17;;B;2;2;3;800;0;1;1;0;60;1;5;1;0;
1236;4;0;;;2;2;0;0;0;0;2;0;0;2;0;1;99;
1237;4;0;;;2;2;0;0;0;1;1;0;50;1;0;1;0;
1238;4;0;;;4;0;0;0;0;2;2;0;0;1;0;1;0;
1239;9;0;;;2;2;0;0;0;2;1;0;50;1;0;1;0;
1240;4;0;;;2;2;0;0;0;2;1;0;38;2;0;0;0;
1241;3;33;;;1;0;17;554;0;1;2;0;0;1;0;1;0;
1242;4;1;;;2;2;0;0;0;1;2;0;66;1;0;3;0;
1243;4;12;;;2;2;0;0;0;1;4;0;47;2;0;1;0;
1244;3;768;;;2;2;22;320;0;1;0;70;66;1;5;1;0;
1245;9;0;;;2;2;0;0;0;1;1;0;63;2;0;1;0;
1246;3;2;;;2;2;70;270;0;4;1;0;58;2;5;1;0;
1247;3;2;;;2;0;90;0;0;0;1;0;100;2;0;3;99;
1248;9;0;;;1;2;0;0;0;1;2;0;90;2;5;1;3;
1249;2;166;;;1;2;39;800;0;1;1;9;70;1;3;1;0;
1250;2;166;;;3;0;35;200;0;1;1;20;140;1;0;1;0;
1251;3;2;;;2;2;87;357;2;1;1;48;0;1;0;1;99;
1252;3;766;;;2;2;0;0;0;1;2;0;0;1;5;1;0;
1253;3;766;;A;2;2;26;200;0;1;3;0;65;1;0;3;99;
1254;3;8;;;2;2;22;850;0;2;1;0;61;1;0;1;99;
1255;3;134;;;2;2;22;0;0;2;3;0;60;7;0;1;0;
1256;3;8;;;3;2;40;0;0;1;1;0;64;2;0;3;0;
1257;3;766;;A;2;0;16;405;0;2;4;66;0;2;0;3;0;
1258;3;764;;;2;2;30;500;0;1;2;0;40;1;0;1;0;
1259;2;9166;;;3;1;1;246;3;0;3;0;40;0;3;1;0;
1260;4;0;;;0;0;0;0;0;0;0;0;50;0;0;0;0;
1261;3;173;;;2;2;1;322;0;1;1;0;65;1;0;1;99;
1262;3;8;;;2;2;31;500;0;1;2;0;58;2;0;1;0;
1263;3;10;;;2;2;21;300;0;2;1;0;57;1;0;1;0;
1264;3;1;;;2;2;46;700;0;0;1;0;66;1;0;3;99;
1265;4;0;;;2;2;0;0;0;1;1;0;0;1;0;1;0;
1266;2;24;;;3;4;51;200;0;0;1;26;135;1;0;1;99;
1267;3;174;;;2;2;1;500;0;2;3;62;0;2;0;3;99;
1268;3;724;;;2;2;23;900;0;2;3;0;74;1;0;3;99;
1269;3;123;;;2;2;4;800;0;0;1;0;0;1;0;1;99;
1270;3;12;;;2;0;2;900;0;0;3;0;0;1;0;1;0;
1271;2;24;;;3;2;36;200;0;0;1;0;60;1;0;2;99;
1272;3;1;;;2;0;47;100;0;2;3;0;68;1;0;1;99;
1273;4;0;;;2;0;0;0;0;0;1;0;50;1;0;1;0;
1274;3;778;;;2;2;2;300;0;1;1;0;65;1;0;1;0;
1275;3;123;;;2;2;6;200;0;1;2;0;43;1;0;1;0;
1276;3;764;;;2;0;80;0;0;1;1;0;67;1;0;1;99;
1277;3;32;;;2;2;2;560;0;0;2;0;75;1;0;1;99;
1278;3;768;;;3;0;87;100;0;1;1;20;71;1;0;1;0;
1279;3;2;;;2;2;54;200;0;1;1;0;0;2;0;1;99;
1280;3;768;;;2;2;72;300;0;1;3;0;73;1;2;1;0;
1281;3;767;;;2;2;22;122;0;2;3;73;0;2;0;1;0;
1282;3;2;;;2;2;26;605;0;1;1;0;60;1;0;1;0;
1283;3;767;;;2;0;29;0;0;1;1;70;0;1;0;1;0;
1284;4;0;;;2;2;0;0;0;1;1;0;0;1;0;1;99;
1285;3;767;;;0;0;27;36;0;0;2;0;0;1;5;1;3;
1286;3;16;;;2;2;33;900;0;1;1;0;54;1;0;1;0;
1287;3;327;;;2;1;8;400;0;1;3;0;52;1;0;1;99;
1288;3;181;;;2;2;4;125;0;1;0;70;0;1;0;1;0;
1289;3;1;;;2;2;57;160;0;0;2;0;60;1;0;1;0;
1290;3;203;;;2;2;2;300;0;3;1;0;60;1;0;1;0;
1291;3;767;;;2;0;28;200;0;2;3;0;60;1;0;1;0;
1292;3;16;;;2;2;24;1900;0;1;1;90;0;1;0;1;0;
1293;4;0;;;3;2;0;0;0;1;1;0;40;2;0;1;99;
1294;3;782;;;2;2;36;850;0;0;1;0;40;1;0;1;0;
1295;3;1;;;2;2;122;0;0;4;1;0;100;2;0;1;0;
1296;3;27;;;2;0;5;850;0;1;2;0;0;2;0;1;99;
1297;3;50;;;2;0;5;800;0;1;1;70;70;1;0;1;99;
1298;3;769;;;2;0;47;400;0;1;1;0;0;2;5;1;99;
1299;3;769;;;2;2;32;125;0;1;1;0;60;1;0;1;99;
1300;3;514;;;3;4;17;100;0;1;1;0;0;1;5;1;0;
1301;3;515;;;3;2;1;740;0;1;3;10;72;0;0;1;0;
1302;3;79;;;2;2;8;451;0;1;1;0;62;2;0;1;0;
1303;3;141;;;2;2;5;236;0;2;1;0;55;1;0;1;99;
1304;3;219;;;2;2;0;511;0;1;1;0;53;1;0;1;0;
1305;3;219;;;2;2;1;670;0;1;3;0;56;1;0;1;99;
1306;3;83;;;2;2;0;0;0;1;1;0;54;1;0;3;0;
1307;3;36;;;2;2;37;250;0;1;1;0;60;1;0;3;0;
1308;3;36;;;2;2;35;903;0;2;1;0;65;1;0;1;0;
1309;3;405;;;2;2;3;700;0;2;1;0;73;2;0;1;99;
1310;3;214;;;2;2;18;200;0;1;1;0;46;2;0;1;0;
1311;3;147;;;2;2;0;0;0;2;1;0;75;1;5;1;0;
1312;4;0;;;2;2;0;0;0;2;1;0;51;1;0;1;0;
1313;3;147;;A;2;2;11;462;0;2;1;0;68;2;0;1;0;
1314;3;8;;;2;2;7;169;0;2;3;0;53;1;0;1;0;
1315;3;139;;;2;2;0;0;0;1;1;0;53;1;0;1;99;
1316;3;229;;;2;2;5;0;0;1;1;0;0;2;0;1;0;
1317;3;613;;;2;3;51;863;0;0;1;0;89;1;0;1;99;
1318;3;132;;;2;2;11;631;0;1;1;0;79;7;0;1;0;
1319;3;41;;;2;2;26;0;0;1;1;0;59;2;0;1;0;
1320;3;41;;;2;2;23;350;0;1;2;0;65;1;0;1;99;
1321;3;89;;;2;2;23;150;0;1;1;0;62;1;0;1;99;
1322;4;0;;;2;1;0;0;0;1;1;0;30;1;0;3;0;
1323;3;41;;;2;2;26;50;0;1;1;0;60;1;0;1;0;
1324;3;613;;;3;2;52;260;0;1;1;20;70;1;0;1;0;
1325;3;613;;;2;3;49;943;0;1;1;0;109;1;0;1;99;
1326;3;40;;;2;2;3;500;0;1;1;0;61;1;0;1;0;
1327;3;225;;;2;0;0;0;0;1;3;0;0;1;0;1;99;
1328;3;562;;;2;3;41;98;0;1;1;0;60;1;0;1;0;
1329;4;0;;;2;2;0;0;0;1;2;0;545;1;0;1;99;
1330;3;613;;;2;2;50;195;0;1;1;0;110;2;0;1;99;
1331;3;89;;;2;0;0;0;0;1;0;0;69;1;0;1;3;
1332;3;658;;;2;0;21;135;0;0;2;0;80;1;0;3;99;
1333;3;613;;;0;2;0;0;0;1;1;20;70;1;0;1;99;
1334;4;;;;2;2;;;0;1;1;0;0;1;0;1;3;
1335;3;60;;B;2;2;12;715;0;1;1;0;65;1;0;1;0;
1336;3;514;;;2;2;24;36;0;1;1;0;0;1;0;1;0;
1337;3;141;;;2;2;15;272;0;1;1;0;60;1;0;1;0;
1338;5;;;;2;1;;;0;2;1;0;0;2;0;1;0;
1339;4;0;;;2;0;0;0;0;0;1;0;69;1;0;1;99;
1340;4;1;;;1;1;0;0;0;1;1;0;53;2;0;1;0;
1341;4;0;;;2;2;0;0;0;1;1;0;45;1;0;1;99;
1342;3;514;;;2;2;19;140;0;2;1;0;70;1;5;1;99;
1343;3;60;;;2;2;0;0;0;1;1;0;0;1;0;1;0;
1344;4;0;;;2;1;0;0;0;1;1;0;49;2;0;1;99;
1345;3;37;;;2;2;4;500;0;2;1;0;62;1;0;1;99;
1346;3;513;;;2;2;40;1102;0;1;1;3;61;1;0;1;99;
1347;3;223;;;2;2;5;200;0;1;1;0;60;1;0;1;99;
1348;3;223;;;2;2;2;0;0;2;1;0;60;1;0;3;99;
1349;3;514;;;2;2;2;453;0;1;1;0;0;1;0;3;99;
1350;3;513;;;2;2;49;0;0;1;1;0;70;1;0;3;0;
1351;6;;;;0;0;;;0;0;0;0;0;0;0;0;0;
1352;9;0;;;1;0;0;0;0;1;0;0;0;1;0;1;99;
1353;3;6;;D;2;2;0;0;0;1;1;0;67;2;0;3;99;
1354;3;153;;D;0;1;0;0;0;1;1;0;47;2;0;1;0;
1355;3;5;;;0;2;0;0;0;0;1;0;68;1;0;1;0;
1356;3;94;;B;4;1;0;0;0;1;2;0;45;2;3;1;99;
1357;3;178;;;2;2;7;423;0;2;3;0;41;9;0;1;0;
1358;3;572;;;2;0;9;750;0;2;1;0;61;1;0;1;0;
1359;3;658;;;2;0;6;700;0;1;1;0;0;1;0;1;0;
1360;3;148;;;3;1;11;847;0;1;1;0;70;1;0;3;99;
1361;3;248;;A;2;2;2;738;0;2;1;0;0;1;0;1;0;
1362;3;69;;;2;1;7;600;0;4;4;0;38;1;0;1;99;
1363;3;509;;;2;2;2;170;0;3;1;0;59;1;0;1;99;
1364;3;243;;;2;2;2;212;0;1;1;0;75;1;0;1;99;
1365;3;562;;;2;3;25;546;0;1;1;0;110;1;0;1;99;
1366;3;254;;;2;2;0;349;0;1;1;0;60;1;0;4;0;
1367;3;1;;;1;2;21;757;0;1;1;0;55;1;0;1;99;
1368;3;562;;;2;0;0;0;0;2;1;26;62;1;0;3;0;
1369;3;562;;;2;2;17;0;0;1;3;0;58;1;0;1;99;
1370;3;238;;A;2;2;1;383;0;1;1;60;140;1;5;1;99;
1371;3;511;;;2;2;54;164;0;2;1;0;65;1;0;1;99;
1372;3;40;;;2;2;8;324;0;2;2;0;77;2;0;1;0;
1373;3;111;;;2;2;3;300;0;1;3;0;42;1;0;1;0;
1374;3;138;;;2;0;18;100;0;1;1;0;53;1;0;1;99;
1375;4;0;;;2;2;0;0;0;0;1;0;0;1;0;1;99;
1376;3;613;;;2;2;32;678;0;1;1;0;70;2;0;1;99;
1377;3;613;;;2;2;23;500;0;1;1;28;78;1;6;4;3;
1378;3;613;;;2;3;21;400;0;1;1;35;70;2;0;1;99;
1379;3;130;;;2;2;6;135;0;1;1;0;44;1;0;1;0;
1380;3;613;;;2;3;6;300;0;1;1;0;110;2;0;1;99;
1381;3;675;;;2;2;2;0;0;1;1;0;77;1;0;1;0;
1382;3;677;;;2;2;0;80;0;1;1;0;70;1;0;1;99;
1383;3;27;;;2;2;9;518;0;1;1;0;29;2;0;1;99;
1384;3;675;;;2;2;28;252;0;1;1;0;75;2;0;1;0;
1385;3;613;;;2;2;35;269;0;1;1;0;78;1;0;1;99;
